Position,Annotation,Frame
(0.0000000 0.0000000 0.0000000),,1
(0.0000000 0.0000000 0.0000000),,2
(0.0000000 0.0000000 0.0000000),,3
(0.0000000 0.0000000 0.0000000),,4
(0.0000000 0.0000000 0.0000000),,5
(0.0000000 0.0000000 0.0000000),,6
(0.0000000 0.0000000 0.0000000),,7
(0.0000000 0.0000000 0.0000000),,8
(0.0000000 0.0000000 0.0000000),,9
(0.0000000 0.0000000 0.0000000),,10
(0.0000000 0.0000000 0.0000000),,11
(0.0000000 0.0000000 0.0000000),,12
(0.0000000 0.0000000 0.0000000),,13
(0.0000000 0.0000000 0.0000000),,14
(0.0000000 0.0000000 0.0000000),,15
(0.0000000 0.0000000 0.0000000),,16
(0.0000000 0.0000000 0.0000000),,17
(0.0000000 0.0000000 0.0000000),,18
(0.0000000 0.0000000 0.0000000),,19
(0.0000000 0.0000000 0.0000000),,20
(0.0000000 0.0000000 0.0000000),,21
(0.0000000 0.0000000 0.0000000),,22
(0.0000000 0.0000000 0.0000000),,23
(0.0000000 0.0000000 0.0000000),,24
(0.0000000 0.0000000 0.0000000),,25
(0.0000000 0.0000000 0.0000000),,26
(0.0000000 0.0000000 0.0000000),,27
(0.0000000 0.0000000 0.0000000),,28
(0.0000000 0.0000000 0.0000000),,29
(0.0000000 0.0000000 0.0000000),,30
(0.0000000 0.0000000 0.0000000),,31
(0.0000000 0.0000000 0.0000000),,32
(0.0000000 0.0000000 0.0000000),,33
(0.0000000 0.0000000 0.0000000),,34
(0.0000000 0.0000000 0.0000000),,35
(0.0000000 0.0000000 0.0000000),,36
(0.0000000 0.0000000 0.0000000),,37
(0.0000000 0.0000000 0.0000000),,38
(0.0000000 0.0000000 0.0000000),,39
(0.0000000 0.0000000 0.0000000),,40
(0.0000000 0.0000000 0.0000000),,41
(0.0000000 0.0000000 0.0000000),,42
(0.0000000 0.0000000 0.0000000),,43
(0.0000000 0.0000000 0.0000000),,44
(0.0000000 0.0000000 0.0000000),,45
(0.0000000 0.0000000 0.0000000),,46
(0.0000000 0.0000000 0.0000000),,47
(0.0000000 0.0000000 0.0000000),,48
(0.0000000 0.0000000 0.0000000),,49
(0.0000000 0.0000000 0.0000000),,50
(0.0000000 0.0000000 0.0000000),,51
(0.0000000 0.0000000 0.0000000),,52
(0.0000000 0.0000000 0.0000000),,53
(0.0000000 0.0000000 0.0000000),,54
(0.0000000 0.0000000 0.0000000),,55
(0.0000000 0.0000000 0.0000000),,56
(0.0000000 0.0000000 0.0000000),,57
(0.0000000 0.0000000 0.0000000),,58
(0.0000000 0.0000000 0.0000000),,59
(0.0000000 0.0000000 0.0000000),,60
(0.0000000 0.0000000 0.0000000),,61
(0.0000000 0.0000000 0.0000000),,62
(0.0000000 0.0000000 0.0000000),,63
(0.0000000 0.0000000 0.0000000),,64
(0.0000000 0.0000000 0.0000000),,65
(0.0000000 0.0000000 0.0000000),,66
(0.0000000 0.0000000 0.0000000),,67
(0.0000000 0.0000000 0.0000000),,68
(0.0000000 0.0000000 0.0000000),,69
(0.0000000 0.0000000 0.0000000),,70
(0.0000000 0.0000000 0.0000000),,71
(0.0000000 0.0000000 0.0000000),,72
(0.0000000 0.0000000 0.0000000),,73
(0.0000000 0.0000000 0.0000000),,74
(0.0000000 0.0000000 0.0000000),,75
(0.0000000 0.0000000 0.0000000),,76
(0.0000000 0.0000000 0.0000000),,77
(0.0000000 0.0000000 0.0000000),,78
(0.0000000 0.0000000 0.0000000),,79
(0.0000000 0.0000000 0.0000000),,80
(0.0000000 0.0000000 0.0000000),,81
(0.0000000 0.0000000 0.0000000),,82
(0.0000000 0.0000000 0.0000000),,83
(0.0000000 0.0000000 0.0000000),,84
(0.0000000 0.0000000 0.0000000),,85
(0.0000000 0.0000000 0.0000000),,86
(0.0000000 0.0000000 0.0000000),,87
(0.0000000 0.0000000 0.0000000),,88
(0.0000000 0.0000000 0.0000000),,89
(0.0000000 0.0000000 0.0000000),,90
(0.0000000 0.0000000 0.0000000),,91
(0.0000000 0.0000000 0.0000000),,92
(0.0000000 0.0000000 0.0000000),,93
(0.0000000 0.0000000 0.0000000),,94
(0.0000000 0.0000000 0.0000000),,95
(0.0000000 0.0000000 0.0000000),,96
(0.0000000 0.0000000 0.0000000),,97
(0.0000000 0.0000000 0.0000000),,98
(0.0000000 0.0000000 0.0000000),,99
(0.0000000 0.0000000 0.0000000),,100
(0.0000000 0.0000000 0.0000000),,101
(0.0000000 0.0000000 0.0000000),,102
(0.0000000 0.0000000 0.0000000),,103
(0.0000000 0.0000000 0.0000000),,104
(0.0000000 0.0000000 0.0000000),,105
(0.0000000 0.0000000 0.0000000),,106
(0.0000000 0.0000000 0.0000000),,107
(0.0000000 0.0000000 0.0000000),,108
(0.0000000 0.0000000 0.0000000),,109
(0.0000000 0.0000000 0.0000000),,110
(0.0000000 0.0000000 0.0000000),,111
(0.0000000 0.0000000 0.0000000),,112
(0.0000000 0.0000000 0.0000000),,113
(0.0000000 0.0000000 0.0000000),,114
(0.0000000 0.0000000 0.0000000),,115
(0.0000000 0.0000000 0.0000000),,116
